position,layer,attack_mean,attack_lo,attack_hi,clean_mean,clean_lo,clean_hi,auroc,auroc_lo,auroc_hi,spearman_success_rate,spearman_lo,spearman_hi,n_attack,n_clean
benign_email_end,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4518,0.4016,0.5053,-0.0049,-0.153,0.1427,200,203
benign_email_end,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4225,0.3694,0.4744,0.0197,-0.1243,0.1477,200,203
benign_email_end,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,5,0.0324,0.0324,0.0325,0.0324,0.0323,0.0324,0.5289,0.4705,0.5862,0.1131,-0.0225,0.2419,200,203
benign_email_end,6,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.4881,0.4321,0.5468,0.0288,-0.1052,0.1732,200,203
benign_email_end,7,0.0,0.0,0.0,0.0,0.0,0.0,0.3952,0.3437,0.4454,-0.0659,-0.1984,0.0627,200,203
benign_email_end,8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,9,0.0,0.0,0.0,0.0,0.0,0.0,0.4828,0.4656,0.4977,0.0314,-0.1164,0.1894,200,203
benign_email_end,10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,11,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,13,0.1713,0.1632,0.1803,0.1807,0.1722,0.1902,0.4599,0.404,0.5176,0.1046,-0.0364,0.251,200,203
benign_email_end,14,0.0,0.0,0.0,0.0,0.0,0.0,0.3921,0.346,0.4393,0.0148,-0.1305,0.1633,200,203
benign_email_end,15,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,16,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,nan,nan,nan,200,203
benign_email_end,17,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.4916,0.4341,0.548,0.0028,-0.1313,0.1456,200,203
benign_email_end,18,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.4178,0.361,0.4746,0.0694,-0.077,0.2047,200,203
benign_email_end,19,0.0042,0.0041,0.0043,0.0041,0.004,0.0042,0.5162,0.4589,0.5727,-0.0497,-0.1947,0.1012,200,203
benign_email_end,20,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.485,0.4291,0.5428,-0.0488,-0.1969,0.1041,200,203
benign_email_end,21,0.0,0.0,0.0,0.0,0.0,0.0,0.4924,0.4376,0.5495,-0.0029,-0.1412,0.1366,200,203
