layer,bin,answer_fraction,win_mean,miss_mean,paired_diff,diff_lo,diff_hi,n_pairs,wins_with_tool_call_started,pre_tool_call_diff,pre_lo,pre_hi,n_pre
20,0,0.05,0.0003,0.0001,0.0001,-0.0001,0.0004,76,9,0.0002,-0.0001,0.0005,68
20,1,0.15,0.0003,0.0003,-0.0,-0.0005,0.0004,68,11,-0.0,-0.0005,0.0005,65
20,2,0.25,0.0002,0.0001,0.0001,-0.0001,0.0003,75,11,0.0001,-0.0001,0.0004,65
20,3,0.35,0.0005,0.0005,0.0,-0.0008,0.0008,66,13,0.0,-0.0008,0.0009,62
20,4,0.45,0.002,0.0003,0.0017,0.0001,0.0037,66,16,0.002,0.0004,0.0041,57
20,5,0.55,0.0017,0.0002,0.0015,0.0003,0.0034,68,23,0.0017,0.0003,0.0039,59
20,6,0.65,0.0006,0.0006,-0.0001,-0.001,0.0009,74,28,0.0004,-0.0005,0.0017,49
20,7,0.75,0.0004,0.0007,-0.0003,-0.0012,0.0004,67,35,-0.0002,-0.0009,0.0006,45
20,8,0.85,0.0001,0.0012,-0.0011,-0.0028,0.0,76,60,-0.0012,-0.0033,-0.0001,31
20,9,0.95,0.0,0.0002,-0.0001,-0.0002,-0.0001,76,76,-0.0,-0.0,-0.0,4
21,0,0.05,0.0,0.0,0.0,-0.0,0.0001,76,9,0.0,-0.0,0.0001,68
21,1,0.15,0.0001,0.0001,-0.0,-0.0002,0.0001,68,11,-0.0,-0.0002,0.0001,65
21,2,0.25,0.0001,0.0,0.0,-0.0,0.0001,75,11,0.0001,-0.0,0.0001,65
21,3,0.35,0.0006,0.0001,0.0005,-0.0001,0.0016,66,13,0.0005,-0.0001,0.0017,62
21,4,0.45,0.0006,0.0,0.0006,0.0001,0.0017,66,16,0.0007,0.0001,0.0019,57
21,5,0.55,0.0004,0.0001,0.0003,-0.0,0.0009,68,23,0.0004,0.0,0.001,59
21,6,0.65,0.0001,0.0003,-0.0002,-0.0006,0.0,74,28,0.0,-0.0001,0.0001,49
21,7,0.75,0.0001,0.0001,0.0,-0.0001,0.0001,67,35,0.0,-0.0001,0.0002,45
21,8,0.85,0.0,0.0,-0.0,-0.0001,0.0,76,60,-0.0001,-0.0001,-0.0,31
21,9,0.95,0.0,0.0,-0.0,-0.0,0.0,76,76,-0.0,-0.0,-0.0,4
22,0,0.05,0.0001,0.0001,0.0001,-0.0,0.0002,76,9,0.0001,-0.0,0.0002,68
22,1,0.15,0.0004,0.0001,0.0003,-0.0,0.0008,68,11,0.0003,-0.0,0.0008,65
22,2,0.25,0.0004,0.0005,-0.0,-0.001,0.0006,75,11,-0.0,-0.001,0.0007,65
22,3,0.35,0.0025,0.0006,0.0019,-0.0011,0.0071,66,13,0.002,-0.0011,0.0075,62
22,4,0.45,0.0013,0.0003,0.0011,-0.0,0.0028,66,16,0.0012,0.0,0.0032,57
22,5,0.55,0.005,0.0003,0.0048,0.0016,0.0091,68,23,0.0054,0.0018,0.0103,59
22,6,0.65,0.0023,0.0008,0.0015,-0.0002,0.0034,74,28,0.0002,-0.0014,0.0014,49
22,7,0.75,0.0003,0.0011,-0.0007,-0.002,0.0002,67,35,-0.0012,-0.003,0.0001,45
22,8,0.85,0.0001,0.0042,-0.0042,-0.0089,-0.0008,76,60,-0.0052,-0.0129,-0.0005,31
22,9,0.95,0.0002,0.0006,-0.0004,-0.001,0.0001,76,76,-0.0003,-0.0009,-0.0,4
23,0,0.05,0.0003,0.0006,-0.0003,-0.001,0.0003,76,9,-0.0004,-0.0011,0.0002,68
23,1,0.15,0.0005,0.0007,-0.0002,-0.0019,0.0008,68,11,-0.0002,-0.002,0.0008,65
23,2,0.25,0.0005,0.0012,-0.0007,-0.0035,0.0008,75,11,-0.0008,-0.0039,0.0009,65
23,3,0.35,0.0017,0.0002,0.0014,-0.0002,0.0039,66,13,0.0015,-0.0002,0.0041,62
23,4,0.45,0.0022,0.0003,0.0018,0.0002,0.004,66,16,0.0024,0.0005,0.0048,57
23,5,0.55,0.0059,0.0009,0.005,0.0007,0.0114,68,23,0.0062,0.0015,0.013,59
23,6,0.65,0.0348,0.0014,0.0334,0.0077,0.0657,74,28,0.0002,-0.0028,0.0023,49
23,7,0.75,0.001,0.001,-0.0,-0.0012,0.0011,67,35,-0.0007,-0.0022,0.0005,45
