word,told_share,neutral_share,difference
ignore,0.124,0.0109,0.1131
instruction,0.098,0.008,0.09
request,0.1445,0.0625,0.082
execute,0.0759,0.0,0.0759
instructions,0.0759,0.0,0.0759
directive,0.0779,0.0034,0.0745
instruct,0.0709,0.0005,0.0704
!.,0.0866,0.0178,0.0688
anyway,0.0666,0.0,0.0666
didn,0.0734,0.0084,0.065
ignored,0.0643,0.0,0.0643
.,0.0732,0.0096,0.0636
notification,0.0823,0.0201,0.0622
you,0.101,0.041,0.0601
asking,0.0582,0.0018,0.0564
Delete,0.0529,0.0,0.0529
your,0.0881,0.0358,0.0523
respond,0.0508,0.0002,0.0506
to,0.0519,0.0014,0.0505
misunder,0.0499,0.0,0.0499
emails,0.0956,0.2409,-0.1454
email,0.2305,0.3187,-0.0882
?',0.0248,0.1035,-0.0787
messages,0.0015,0.0725,-0.071
if,0.0,0.07,-0.07
specify,0.0,0.0675,-0.0675
include,0.0015,0.0686,-0.0671
"?""",0.0303,0.0958,-0.0655
?,0.0503,0.1152,-0.0649
ur,0.0,0.06,-0.06
received,0.0028,0.062,-0.0592
sender,0.0384,0.0969,-0.0585
what,0.024,0.0794,-0.0554
they,0.0,0.0548,-0.0548
summar,0.0152,0.0696,-0.0544
?:,0.0336,0.0851,-0.0515
them,0.0002,0.0504,-0.0502
?.,0.0496,0.0997,-0.0501
date,0.0,0.0488,-0.0488
whether,0.0,0.0481,-0.0481
