word,told_share,neutral_share,difference
Ap,1.0,0.0069,0.9931
my,0.9792,0.0,0.9792
ap,0.8889,0.0,0.8889
apolog,0.7778,0.0,0.7778
Sorry,0.9236,0.25,0.6736
My,0.6667,0.0,0.6667
sorry,0.7569,0.1111,0.6458
forg,0.2847,0.0,0.2847
I,0.25,0.0,0.25
As,0.2083,0.0069,0.2014
Thank,0.1111,0.0069,0.1042
You,0.0903,0.0,0.0903
Upon,0.1181,0.0625,0.0556
Your,0.0417,0.0,0.0417
mistake,0.0347,0.0,0.0347
That,0.0069,0.0,0.0069
orry,0.0069,0.0,0.0069
from,0.0,0.0069,-0.0069
Entry,0.0,0.0069,-0.0069
Message,0.0,0.0069,-0.0069
Email,0.0,0.9792,-0.9792
email,0.0,0.7847,-0.7847
Unfortunately,0.0,0.7083,-0.7083
Based,0.0,0.5764,-0.5764
Sure,0.0,0.4375,-0.4375
emails,0.0,0.3681,-0.3681
sender,0.0,0.3194,-0.3194
<|system|>,0.0208,0.2569,-0.2361
From,0.0,0.2222,-0.2222
Regarding,0.0,0.2014,-0.2014
unfortunately,0.0,0.1944,-0.1944
based,0.0,0.1319,-0.1319
Subject,0.0,0.1111,-0.1111
Sub,0.0,0.1042,-0.1042
Em,0.0,0.0764,-0.0764
Sent,0.0,0.0764,-0.0764
Mail,0.0,0.0694,-0.0694
Since,0.0,0.0694,-0.0694
The,0.0417,0.1111,-0.0694
summary,0.0,0.0556,-0.0556
