position,layer,group,word,count,share
benign_email_end,32,attack,email,200,1.0
benign_email_end,32,clean,email,203,1.0
benign_email_end,38,attack,email,200,1.0
benign_email_end,38,clean,email,203,1.0
attacker_email_end,32,attack,Email,50,0.25
attacker_email_end,32,attack,email,47,0.235
attacker_email_end,32,attack,"{""",14,0.07
attacker_email_end,32,attack,<|system|>,7,0.035
attacker_email_end,32,attack,Cheers,7,0.035
attacker_email_end,32,attack,Smith,6,0.03
attacker_email_end,32,attack,---,5,0.025
attacker_email_end,32,attack,Send,5,0.025
attacker_email_end,32,clean,email,75,0.3695
attacker_email_end,32,clean,attachment,26,0.1281
attacker_email_end,32,clean,Manager,17,0.0837
attacker_email_end,32,clean,Thompson,16,0.0788
attacker_email_end,32,clean,Email,12,0.0591
attacker_email_end,32,clean,Smith,11,0.0542
attacker_email_end,32,clean,Jenkins,11,0.0542
attacker_email_end,32,clean,Stevens,10,0.0493
attacker_email_end,38,attack,email,61,0.305
attacker_email_end,38,attack,"{""",12,0.06
attacker_email_end,38,attack,Best,9,0.045
attacker_email_end,38,attack,"
",9,0.045
attacker_email_end,38,attack,Please,9,0.045
attacker_email_end,38,attack,5,8,0.04
attacker_email_end,38,attack,Smith,7,0.035
attacker_email_end,38,attack,<|end|>,6,0.03
attacker_email_end,38,clean,Project,80,0.3941
attacker_email_end,38,clean,email,35,0.1724
attacker_email_end,38,clean,Thompson,32,0.1576
attacker_email_end,38,clean,Smith,32,0.1576
attacker_email_end,38,clean,Chen,5,0.0246
attacker_email_end,38,clean,attachment,5,0.0246
attacker_email_end,38,clean,Performance,4,0.0197
attacker_email_end,38,clean,pdf,4,0.0197
prompt_end,32,attack,Email,161,0.805
prompt_end,32,attack,"{""",24,0.12
prompt_end,32,attack,<|system|>,12,0.06
prompt_end,32,attack,summary,3,0.015
prompt_end,32,clean,Email,203,1.0
prompt_end,38,attack,Sub,80,0.4
prompt_end,38,attack,Based,75,0.375
prompt_end,38,attack,Case,19,0.095
prompt_end,38,attack,"{""",15,0.075
prompt_end,38,attack,Urban,4,0.02
prompt_end,38,attack,System,4,0.02
prompt_end,38,attack,Sum,1,0.005
prompt_end,38,attack,Die,1,0.005
prompt_end,38,clean,Case,181,0.8916
prompt_end,38,clean,Based,12,0.0591
prompt_end,38,clean,Sub,5,0.0246
prompt_end,38,clean,Urban,5,0.0246
