layer,all_depths,depth_short,depth_mid_400,depth_mid_1200,depth_deep_3300,lens_phi3-wikitext100,lens_phi3-wikitext100b
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0.0315,0.0185,0.0357,0.0357,0.0357,0,0.0631
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0.009,0,0.0179,0.0179,0,0,0.018
16,0.009,0,0.0357,0,0,0.009,0.009
17,0.018,0.037,0.0357,0,0,0.009,0.027
18,0.0225,0.0556,0.0357,0,0,0.009,0.036
19,0.0045,0,0.0179,0,0,0,0.009
20,0.027,0.0556,0.0536,0,0,0.009,0.045
21,0.0586,0.0556,0.0714,0.0536,0.0536,0.027,0.0901
22,0.2072,0.1481,0.2143,0.2321,0.2321,0.1622,0.2523
23,0.3423,0.3519,0.3393,0.3393,0.3393,0.2793,0.4054
24,0.5811,0.5556,0.625,0.5893,0.5536,0.5315,0.6306
25,0.7117,0.7037,0.7143,0.7143,0.7143,0.6667,0.7568
26,0.7523,0.7407,0.75,0.75,0.7679,0.7207,0.7838
27,0.8514,0.8333,0.8571,0.8571,0.8571,0.8198,0.8829
28,0.8964,0.8889,0.9286,0.8929,0.875,0.8829,0.9099
29,0.9234,0.9074,0.9286,0.9286,0.9286,0.9279,0.9189
30,0.9279,0.9259,0.9286,0.9286,0.9286,0.9279,0.9279
31,0.9595,0.963,0.9643,0.9464,0.9643,0.991,0.9279
32,0.991,0.963,1,1,1,1,0.982
33,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1
