layer,n_shows,rate_shows,rate_not,separates
20,25,nan,nan,too few
21,9,nan,nan,too few
22,18,nan,nan,too few
23,6,nan,nan,too few
24,19,nan,nan,too few
25,42,0.3431,0.1795,yes
26,53,0.3631,0.1787,yes
27,33,0.268,0.1805,no
28,63,0.3534,0.1784,yes
29,87,0.3806,0.1767,yes
30,87,0.3977,0.1764,yes
31,149,0.3784,0.1735,yes
32,130,0.3534,0.1754,yes
33,143,0.3162,0.1762,yes
34,291,0.3843,0.1652,yes
35,284,0.3865,0.1655,yes
36,398,0.3516,0.1623,yes
37,434,0.3458,0.1611,yes
38,571,0.3119,0.1594,yes
